SUBJECT,CATALOG_NBR,DESCR,COMPLETED HEADCOUNT,TOTAL HEADCOUNT,A_COUNT,B_COUNT,C_COUNT,D_COUNT,S_COUNT,P_COUNT,N_COUNT,F_COUNT,W_COUNT,GPA,PASS_RATE,W_PERCENT,A_PERCENT,B_PERCENT,C_PERCENT,D_PERCENT,F_PERCENT
DNCE,4443,Theorizing Dancing Bodies,20,20,7,10,2,0,0,0,0,1,0,3.1,0.95,0.0,0.35,0.5,0.1,0.0,0.05
DNCE,5010,Modern/Contemporary Dance 7,30,30,22,8,0,0,0,0,0,0,0,3.7333333333333334,1.0,0.0,0.7333333333333333,0.26666666666666666,0.0,0.0,0.0
DNCE,5030,Modern/Contemporary Dance 9,34,34,30,2,2,0,0,0,0,0,0,3.823529411764706,1.0,0.0,0.8823529411764706,0.058823529411764705,0.058823529411764705,0.0,0.0
DNCE,5110,Ballet 7,11,12,11,0,0,0,0,0,0,0,1,4.0,0.9166666666666666,0.08333333333333333,1.0,0.0,0.0,0.0,0.0
DNCE,5858,Dance Pedagogy,11,11,7,2,2,0,0,0,0,0,0,3.4545454545454546,1.0,0.0,0.6363636363636364,0.18181818181818182,0.18181818181818182,0.0,0.0
DSCI,8970,Data Science M.S. Colloquium,10,10,0,0,0,0,9,0,1,0,0,,0.9,0.0,,,,,
EAS,3461,Intro to E. Asia I,26,26,14,8,0,0,0,0,1,3,0,3.2,0.8461538461538461,0.0,0.56,0.32,0.0,0.0,0.12
ECON,1101,Principles of Microeconomics,925,952,382,336,167,23,4,0,1,12,27,3.1445652173913046,0.9338235294117647,0.028361344537815126,0.4152173913043478,0.3652173913043478,0.1815217391304348,0.025,0.013043478260869565
ECON,3970,Topics: Economics,14,14,8,5,0,1,0,0,0,0,0,3.4285714285714284,0.9285714285714286,0.0,0.5714285714285714,0.35714285714285715,0.0,0.07142857142857142,0.0
ECON,4108,Advanced Game Theory,68,68,20,34,14,0,0,0,0,0,0,3.088235294117647,1.0,0.0,0.29411764705882354,0.5,0.20588235294117646,0.0,0.0
ECON,4161,Microeconomic Analysis I,13,14,8,4,1,0,0,0,0,0,1,3.5384615384615383,0.9285714285714286,0.07142857142857142,0.6153846153846154,0.3076923076923077,0.07692307692307693,0.0,0.0
ECON,4162,Microeconomic Analysis II,12,12,7,5,0,0,0,0,0,0,0,3.5833333333333335,1.0,0.0,0.5833333333333334,0.4166666666666667,0.0,0.0,0.0
ECON,4331W,Economic Development,51,52,18,13,14,2,0,0,0,4,1,2.764705882352941,0.8653846153846154,0.019230769230769232,0.35294117647058826,0.2549019607843137,0.27450980392156865,0.0392156862745098,0.0784313725490196
ECON,4431W,International Trade,66,69,16,26,21,2,0,0,0,1,3,2.8181818181818183,0.9130434782608695,0.043478260869565216,0.24242424242424243,0.3939393939393939,0.3181818181818182,0.030303030303030304,0.015151515151515152
ECON,4968,Advanced Topics: Economics,17,18,3,10,4,0,0,0,0,0,1,2.9411764705882355,0.9444444444444444,0.05555555555555555,0.17647058823529413,0.5882352941176471,0.23529411764705882,0.0,0.0
ECON,8101,Microecon Theory,25,26,13,12,0,0,0,0,0,0,1,3.52,0.9615384615384616,0.038461538461538464,0.52,0.48,0.0,0.0,0.0
ECON,8102,Microecon Theory,25,26,9,16,0,0,0,0,0,0,1,3.36,0.9615384615384616,0.038461538461538464,0.36,0.64,0.0,0.0,0.0
ECON,8105,Macroecon Theory,36,39,33,3,0,0,0,0,0,0,3,3.9166666666666665,0.9230769230769231,0.07692307692307693,0.9166666666666666,0.08333333333333333,0.0,0.0,0.0
ECON,8106,Macroecon Theory,36,37,20,16,0,0,0,0,0,0,1,3.5555555555555554,0.972972972972973,0.02702702702702703,0.5555555555555556,0.4444444444444444,0.0,0.0,0.0
ECON,8185,Advanced Macroecon,10,10,8,2,0,0,0,0,0,0,0,3.8,1.0,0.0,0.8,0.2,0.0,0.0,0.0
ECON,8205,Appl Econometrics,24,25,9,15,0,0,0,0,0,0,1,3.375,0.96,0.04,0.375,0.625,0.0,0.0,0.0
ECON,8206,Appl Econometrics,24,25,16,8,0,0,0,0,0,0,1,3.6666666666666665,0.96,0.04,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
ECON,8501,Wages & Employment,13,13,8,5,0,0,0,0,0,0,0,3.6153846153846154,1.0,0.0,0.6153846153846154,0.38461538461538464,0.0,0.0,0.0
ECP,5220,Reg Issues in Drug Research,19,19,16,3,0,0,0,0,0,0,0,3.8421052631578947,1.0,0.0,0.8421052631578947,0.15789473684210525,0.0,0.0,0.0
EDHD,1051,Editing for Writers,11,11,9,0,1,0,1,0,0,0,0,3.8,1.0,0.0,0.9,0.0,0.1,0.0,0.0
EDHD,1525W,First Year Inquiry,447,451,305,114,22,3,0,0,0,3,4,3.5995525727069353,0.9778270509977827,0.008869179600886918,0.6823266219239373,0.2550335570469799,0.049217002237136466,0.006711409395973154,0.006711409395973154
EDHD,1620,Current Topics,17,18,16,0,1,0,0,0,0,0,1,3.8823529411764706,0.9444444444444444,0.05555555555555555,0.9411764705882353,0.0,0.058823529411764705,0.0,0.0
EDHD,1701,Introduction to TRiO,139,139,119,15,3,1,0,0,0,1,0,3.7985611510791366,0.9856115107913669,0.0,0.8561151079136691,0.1079136690647482,0.02158273381294964,0.007194244604316547,0.007194244604316547
EDHD,5300,Special Topics: Ed & Human Dev,54,55,53,1,0,0,0,0,0,0,1,3.9814814814814814,0.9818181818181818,0.01818181818181818,0.9814814814814815,0.018518518518518517,0.0,0.0,0.0
