,SUBJECT,CATALOG_NBR,DESCR,COMPLETED HEADCOUNT,TOTAL HEADCOUNT,A_COUNT,B_COUNT,C_COUNT,D_COUNT,S_COUNT,P_COUNT,N_COUNT,F_COUNT,W_COUNT
225,ARTH,5302,Prints in Early Modern Europe,16,16,10,3,1,0,0,0,0,2,0
226,ARTH,5411,Gender and Sexuality in Art,22,26,7,10,5,0,0,0,0,0,4
227,ARTH,5765,Early Chinese Art,9,11,7,2,0,0,0,0,0,0,2
228,ARTS,1001,Intro Contemporary Art/ Theory,144,146,80,54,3,0,3,0,1,3,2
229,ARTS,1001H,HonorsIntro Contemp Art Theory,14,15,13,1,0,0,0,0,0,0,1
230,ARTS,1101,Introduction to Drawing,165,180,133,18,3,0,10,0,0,1,15
231,ARTS,1102,Introduction to Painting,18,19,12,3,0,0,2,0,0,1,1
232,ARTS,1103,Introduction to Printmaking,40,42,25,7,7,0,1,0,0,0,2
233,ARTS,1107,Intro to Digital Drawing,20,20,14,5,0,0,0,0,0,1,0
234,ARTS,1701,Introduction to Photography,94,96,68,13,0,0,10,0,0,3,2
235,ARTS,1704,Introduction to Moving Images,70,73,45,12,6,0,7,0,0,0,3
236,ARTS,1801,Introduction to Ceramics,89,93,73,8,0,0,8,0,0,0,4
237,ARTS,1802,Introduction to Sculpture,55,58,46,6,1,0,2,0,0,0,3
238,ARTS,1803,Intro to Sculpture & Ceramics,20,20,12,4,1,0,2,0,0,1,0
239,ARTS,1912,Art and Yoga,19,19,17,1,1,0,0,0,0,0,0
240,ARTS,3120,Intermediate Painting,17,17,14,2,0,0,0,0,0,1,0
241,ARTS,3130,Intermediate Printmaking,11,12,8,3,0,0,0,0,0,0,1
242,ARTS,3140,Figure Drawing,21,21,19,0,0,0,0,0,0,2,0
243,ARTS,3180,"Zines, Comics, and Books",20,20,16,4,0,0,0,0,0,0,0
244,ARTS,3190,Watercolor Painting,21,22,13,6,1,0,0,0,0,1,1
245,ARTS,3206W,Art + Ecology,17,18,16,1,0,0,0,0,0,0,1
246,ARTS,3401W,Theories Studio Perspective,37,38,17,16,2,0,0,0,1,1,1
247,ARTS,3404W,Prof Practices in the Arts,40,42,33,2,3,1,0,0,0,1,2
248,ARTS,3710,B&W Darkroom Photography,18,19,17,0,0,0,1,0,0,0,1
249,ARTS,3730,Int Digital Photography,18,18,17,1,0,0,0,0,0,0,0
250,ARTS,3740,Lighting & Constructed Image,18,19,15,1,0,0,2,0,0,0,1
251,ARTS,3770,Animation,28,28,21,5,0,0,1,0,0,1,0
252,ARTS,3780,Super 8 and 16 MM Filmmaking,15,15,13,2,0,0,0,0,0,0,0
253,ARTS,3820,Ceramic: Wheel Throwing,17,17,13,4,0,0,0,0,0,0,0
254,ARTS,3830,Ceramic Sculpture,11,11,8,2,1,0,0,0,0,0,0
255,ARTS,3850,Foundry and Metal Sculpture,12,12,9,2,0,0,1,0,0,0,0
256,ARTS,3860,Sculpture and Installation,12,14,12,0,0,0,0,0,0,0,2
257,ARTS,5120,Advanced Painting,21,22,17,4,0,0,0,0,0,0,1
258,ARTS,5401W,BFA Capstone 1: Concepts,19,19,14,5,0,0,0,0,0,0,0
259,ARTS,5404,BA Capstone and Exhibition,20,21,0,0,0,0,20,0,0,0,1
260,ARTS,5810,Advanced Ceramics,13,13,11,2,0,0,0,0,0,0,0
261,ASL,1701,ASL I,237,250,111,80,21,5,12,0,1,7,13
262,ASL,1702,ASL II,134,137,45,54,13,5,17,0,0,0,3
263,ASL,3001,Deaf Culture,18,18,14,4,0,0,0,0,0,0,0
264,ASL,3703,ASL III,143,145,57,48,6,1,30,0,1,0,2
265,ASL,3704,ASL IV,99,100,31,31,5,0,32,0,0,0,1
266,AST,1011H,"Explore Universe, H",22,22,12,10,0,0,0,0,0,0,0
267,AST,1910,The Ultimate Questions,17,17,14,3,0,0,0,0,0,0,0
268,AST,1911,Nothing,16,16,12,4,0,0,0,0,0,0,0
269,AST,2001,Intro Astrophysics,35,35,10,17,7,0,0,0,1,0,0
270,AST,4001,Astrophysics I,12,15,5,5,2,0,0,0,0,0,3
271,AST,8110,Topics in Astrophysics,12,12,7,5,0,0,0,0,0,0,0
272,BA,1001,Analyzing Business Prblms xcel,418,423,149,239,30,0,0,0,0,0,5
273,BA,3000,Career Skills,376,378,0,0,0,0,367,0,9,0,2
274,BA,4504,Carlson Consulting Enterprise,22,22,20,2,0,0,0,0,0,0,0
275,BA,4990H,Honors Thesis Seminar I,31,32,31,0,0,0,0,0,0,0,1
276,BBE,1002,Biorenewable Resources,323,337,220,62,14,7,0,0,0,20,14
277,BBE,2001,Mechanics & Structl Design,40,50,8,11,15,3,0,0,0,3,10
278,BBE,2003,Computer Applications in BBE,118,122,38,72,8,0,0,0,0,0,4
279,BBE,2201,Renewable Energy & Environment,664,688,466,92,32,12,22,0,10,30,24
280,BBE,3002,Intro to Engineering Design,42,42,24,15,3,0,0,0,0,0,0
281,BBE,3012,Trans in Biological Process I,86,90,12,30,28,10,0,0,0,6,4
282,BBE,3013,Engr Prin Cell Proc,51,51,20,19,9,1,0,0,0,2,0
283,BBE,3023,Ecological Eng Principles,15,15,6,7,2,0,0,0,0,0,0
284,BBE,3201,Sustainability of Food Systems,162,170,90,36,22,10,0,0,0,4,8
285,BBE,4001,Biomass Chemistry & Conversion,32,36,8,14,8,2,0,0,0,0,4
286,BBE,4023W,Process Control & Instrumntatn,30,30,26,4,0,0,0,0,0,0,0
287,BBE,4301,Applied Surface & Colloid Sci,20,21,3,9,8,0,0,0,0,0,1
288,BBE,4401,Bioproduct Sep/Purify Process,19,19,1,12,6,0,0,0,0,0,0
289,BBE,4404,Biopolymers & Biocomp Eng,16,16,10,3,3,0,0,0,0,0,0
290,BBE,4535,Assess/Diag Impaired Waters,24,26,16,6,2,0,0,0,0,0,2
291,BBE,4744,Engr Prin for Biol Scientists,56,56,18,32,6,0,0,0,0,0,0
292,BBE,5513,Watershed Engr,14,14,3,5,6,0,0,0,0,0,0
293,BICB,8401,Ethics in Bioinformatics,10,10,9,0,0,0,1,0,0,0,0
294,BIOC,2011,Biochem for Ag/Health Sciences,48,50,12,16,16,2,0,0,0,2,2
295,BIOC,3021,Biochemistry,309,330,78,125,97,6,0,0,0,3,21
296,BIOC,3022,Biochemistry for Life Sciences,180,182,66,82,31,1,0,0,0,0,2
297,BIOC,3321,Biochemistry,55,56,18,24,10,3,0,0,0,0,1
298,BIOC,4025W,Laboratory in Biochemistry,55,56,38,14,2,1,0,0,0,0,1
299,BIOC,4331,Structure/Catalysis/Metabolism,158,162,42,46,58,4,0,0,0,8,4
300,BIOC,4332,Signal Trans/Gene Expression,90,92,20,46,18,6,0,0,0,0,2
301,BIOC,4351,Protein Engineering,62,62,32,18,12,0,0,0,0,0,0
302,BIOC,4521,Intro to Physical Biochemistry,45,46,13,20,12,0,0,0,0,0,1
